_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,BOTANICAL_NAME,COMMON_NAME,DBH_TRUNK,geometry
226413,226440,EY22090,146,OAK PARK AVE,BURRELL AVE,ORLEY AVE,,0,10,,19,Acer saccharinum,"Maple, silver",45,"{""type"": ""Point"", ""coordinates"": [-79.3095487288902, 43.6917780362706]}"
226443,226470,EY10643,2,ASPEN AVE,PARKVIEW HILL CRES,PARKVIEW HILL CRES,,0,20,,19,Thuja occidentalis,"Cedar, white",17,"{""type"": ""Point"", ""coordinates"": [-79.3294468629827, 43.7038748507607]}"
226622,226649,EY25507,55,INDUSTRIAL ST,ESANDAR DR,COMMERCIAL RD,,0,20,,15,Tilia americana,"Basswood, American",43,"{""type"": ""Point"", ""coordinates"": [-79.353832039129, 43.709285849502]}"
226639,226666,EY20361,5,BARFIELD AVE,MEMORIAL PARK AVE,COSBURN AVE,,0,10,,14,Malus,Apple,29,"{""type"": ""Point"", ""coordinates"": [-79.33223406534, 43.6916009532372]}"
226816,226843,EY5228,68,SOUTHVALE DR,HANNA RD,ROLPH RD,,0,10,,15,Acer platanoides,"Maple, Norway",69,"{""type"": ""Point"", ""coordinates"": [-79.3642372000684, 43.7000175665959]}"
227140,227167,EY16642,135,CADORNA AVE,O'CONNOR DR,DAVIES CRES,,0,10,,14,Betula,Birch,0,"{""type"": ""Point"", ""coordinates"": [-79.3407670826836, 43.6959975701895]}"
227146,227173,EY11423,31,STAG HILL DR,HALE CRT,LEANDER CRT,,0,10,,19,Acer platanoides,"Maple, Norway",42,"{""type"": ""Point"", ""coordinates"": [-79.3095651408839, 43.704377007189]}"
227197,227224,EY14828,71,SAMMON AVE,LN E PAPE S SAMMON,WOODYCREST AVE,,0,10,,14,Gleditsia triacanthos,Honey locust,49,"{""type"": ""Point"", ""coordinates"": [-79.3442211824995, 43.6848828841853]}"
227437,227464,EY19164,132,QUEENSDALE AVE,MONARCH PARK AVE,COXWELL AVE,,0,30,,14,Thuja occidentalis,"Cedar, white",10,"{""type"": ""Point"", ""coordinates"": [-79.3274133750582, 43.6878440160484]}"
227449,227476,EY25796,59,MCRAE DR,BESSBOROUGH DR,HANNA RD,,0,10,,15,ginkgo biloba,Ginkgo,30,"{""type"": ""Point"", ""coordinates"": [-79.3695158831668, 43.7023634709201]}"
227455,227482,EY10213,5,EDEN PARK RD,DENVALE RD,GLENSHAW CRES,,0,20,,19,Prunus serrulata,"Cherry, Japanese",30,"{""type"": ""Point"", ""coordinates"": [-79.3185210239893, 43.7079499953996]}"
